Country;Indicator;Nombres de medidas;Year;Valores de medidas
Afghanistan;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,227785736
Afghanistan;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;0,476190478
Afghanistan;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-2,746729612
Afghanistan;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Albania;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Albania;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;58,571430206
Albania;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,382100046
Albania;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Algeria;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,220985532
Algeria;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;18,571428299
Algeria;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,793784916
Algeria;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
American Samoa;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,325574338
American Samoa;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;92,380950928
American Samoa;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,205116272
American Samoa;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;1
Andorra;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,297851115
Andorra;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;97,619049072
Andorra;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,425431967
Andorra;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;2
Angola;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,225093991
Angola;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;34,761905670
Angola;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,319034934
Angola;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Anguilla;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,282534301
Anguilla;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;94,285713196
Anguilla;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,297391176
Anguilla;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;2
Antigua and Barbuda;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,255043179
Antigua and Barbuda;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;70,476188660
Antigua and Barbuda;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,726143181
Antigua and Barbuda;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;4
Argentina;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Argentina;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;46,666667938
Argentina;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,019931927
Argentina;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Armenia;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,220985532
Armenia;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;30,476190567
Armenia;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,418780267
Armenia;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Aruba;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,253446341
Aruba;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;95,714286804
Aruba;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,366118670
Aruba;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;3
Australia;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Australia;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;82,857139587
Australia;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,976574123
Australia;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Austria;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Austria;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;80,952377319
Austria;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,917523205
Austria;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Azerbaijan;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,220985532
Azerbaijan;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;20,952381134
Azerbaijan;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,696733057
Azerbaijan;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Bahamas, The;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,224246994
Bahamas, The;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;78,571426392
Bahamas, The;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,872116685
Bahamas, The;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Bahrain;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,225093991
Bahrain;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;17,142856598
Bahrain;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,840442419
Bahrain;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Bangladesh;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Bangladesh;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;13,809523582
Bangladesh;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-1,032479763
Bangladesh;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Barbados;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,233037472
Barbados;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;81,428573608
Barbados;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,921432853
Barbados;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;5
Belarus;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,219555780
Belarus;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;58,095237732
Belarus;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,353531927
Belarus;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Belgium;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Belgium;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;59,523811340
Belgium;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,412356049
Belgium;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Belize;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,233037472
Belize;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;46,190475464
Belize;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,015672719
Belize;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;5
Benin;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,229383603
Benin;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;41,904762268
Benin;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,132421002
